1;-163687
2;-163687
3;-163687
4;-163687
5;-163687
6;-163687
7;-163687
8;-163687
9;-163687
10;-163687
11;-163687
12;-163687
13;-163687
14;-163687
15;-163687
16;-163687
17;-163687
18;-163687
19;-144451
20;-144451
21;-156817
22;-156817
23;-160939
24;-160939
25;-176740
26;-176740
27;-152695
28;-152695
29;-141016
30;-141016
31;-141016
32;-141016
33;-143764
34;-143764
35;-176053
36;-176053
37;-175366
38;-175366
39;-175366
40;-175366
41;-187732
42;-187732
43;-164374
44;-164374
45;-164374
46;-164374
47;-161626
48;-161626
49;-161626
50;-161626
51;-171931
52;-171931
53;-144451
54;-144451
55;-171931
56;-171931
57;-141703
58;-141703
59;-129337
60;-129337
61;-143764
62;-143764
63;-173992
64;-173992
65;-163000
66;-163000
67;-163000
68;-163000
69;-158878
70;-158878
71;-143077
72;-143077
73;-163000
74;-163000
75;-149260
76;-149260
77;-149260
78;-149260
79;-149260
80;-149260
81;-149260
82;-149260
83;-143077
84;-143077
85;-143077
86;-143077
87;-147199
88;-147199
89;-125902
90;-125902
91;-148573
92;-148573
93;-145825
94;-145825
95;-162313
96;-162313
97;-147886
98;-147886
99;-128650
100;-128650
101;-125215
102;-125215
103;-127963
104;-127963
105;-113536
106;-113536
107;-113536
108;-113536
109;-159565
110;-159565
111;-160939
112;-160939
113;-160939
114;-160939
115;-163000
116;-163000
117;-169183
118;-169183
119;-169183
120;-169183
121;-164374
122;-164374
123;-159565
124;-159565
125;-159565
126;-159565
127;-149947
128;-149947
129;-151321
130;-151321
131;-145138
132;-145138
133;-143077
134;-143077
135;-147199
136;-147199
137;-158878
138;-158878
139;-139642
140;-139642
141;-139642
142;-139642
143;-133459
144;-133459
145;-184984
146;-184984
147;-184984
148;-184984
149;-198037
150;-198037
151;-178801
152;-178801
153;-162313
154;-162313
155;-160939
156;-160939
157;-156130
158;-156130
159;-156130
160;-156130
161;-181549
162;-181549
163;-160939
164;-160939
165;-160939
166;-160939
167;-150634
168;-150634
169;-181549
170;-181549
171;-171244
172;-171244
173;-171244
174;-171244
175;-182236
176;-182236
177;-149947
178;-149947
179;-151321
180;-151321
181;-152695
182;-152695
183;-166435
184;-166435
185;-159565
186;-159565
187;-159565
188;-159565
189;-129337
190;-129337
191;-129337
192;-129337
193;-118345
194;-118345
195;-123154
196;-123154
197;-118345
198;-118345
199;-118345
200;-118345
201;-152695
202;-152695
203;-152695
204;-152695
205;-152695
206;-152695
207;-133459
208;-133459
209;-144451
210;-144451
211;-134833
212;-134833
213;-158878
214;-158878
215;-134146
216;-134146
217;-150634
218;-150634
219;-176740
220;-176740
221;-162313
222;-162313
223;-148573
224;-148573
225;-159565
226;-159565
227;-159565
228;-159565
229;-138955
230;-138955
231;-142390
232;-142390
233;-112849
234;-112849
235;-125902
236;-125902
237;-183610
238;-183610
239;-183610
240;-183610
241;-171244
242;-171244
243;-152695
244;-152695
245;-152695
246;-152695
247;-164374
248;-164374
249;-164374
250;-164374
251;-165748
252;-165748
253;-152008
254;-152008
255;-194602
256;-194602
257;-160939
258;-160939
259;-176053
260;-176053
261;-171931
262;-171931
263;-147886
264;-147886
265;-152008
266;-152008
267;-152008
268;-152008
269;-152008
270;-152008
271;-160939
272;-160939
273;-141016
274;-141016
275;-138268
276;-138268
277;-153382
278;-153382
279;-153382
280;-153382
281;-179488
282;-179488
283;-187045
284;-187045
285;-187045
286;-187045
287;-179488
288;-179488
289;-162313
290;-162313
291;-162313
292;-162313
293;-127963
294;-127963
295;-182923
296;-182923
297;-157504
298;-157504
299;-183610
300;-183610
301;-141703
302;-141703
303;-145825
304;-145825
305;-171244
306;-171244
307;-171244
308;-171244
309;-169183
310;-169183
311;-169183
312;-169183
313;-176053
314;-176053
315;-143764
316;-143764
317;-143077
318;-143077
319;-143077
320;-143077
321;-132085
322;-132085
323;-132085
324;-132085
325;-132085
326;-132085
327;-141703
328;-141703
329;-123841
330;-123841
331;-123841
332;-123841
333;-122467
334;-122467
335;-109414
336;-109414
337;-125902
338;-125902
339;-165061
340;-165061
341;-152695
342;-152695
343;-143077
344;-143077
345;-178801
346;-178801
347;-178801
348;-178801
349;-185671
350;-185671
351;-152008
352;-152008
353;-154756
354;-154756
355;-156130
356;-156130
357;-204907
358;-204907
359;-204907
360;-204907
361;-204907
362;-204907
363;-143077
364;-143077
365;-143077
366;-143077
367;-183610
368;-183610
369;-143077
370;-143077
371;-143077
372;-143077
373;-147199
374;-147199
375;-147199
376;-147199
377;-165061
378;-165061
379;-134833
380;-134833
381;-160939
382;-160939
383;-143764
384;-143764
385;-163687
386;-163687
387;-163687
388;-163687
389;-147199
390;-147199
391;-149947
392;-149947
393;-138955
394;-138955
395;-144451
396;-144451
397;-140329
398;-140329
399;-140329
400;-140329
401;-125902
402;-125902
403;-162313
404;-162313
405;-162313
406;-162313
407;-160939
408;-160939
409;-160939
410;-160939
411;-160939
412;-160939
413;-142390
414;-142390
415;-138955
416;-138955
417;-138955
418;-138955
419;-138955
420;-138955
421;-138955
